Sample descriptive name	Sample ID	Study ID	Platform	SRA	Description	Species	Comments	Molecule
Th1-WT [RNA-seq]	GSM523209	GSE20898	GPL9250	SRA	T-helper 1 cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: T-helper 1 cells"	total RNA
Th1-Gata3-KO [RNA-seq]	GSM523210	GSE20898	GPL9250	SRA	T-helper 1 cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: T-helper 1 cells"	total RNA
Th2-WT [RNA-seq]	GSM523211	GSE20898	GPL9250	SRA	T-helper 2 cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: T-helper 2 cells"	total RNA
Th2-Gata3-KO [RNA-seq]	GSM523212	GSE20898	GPL9250	SRA	T-helper 2 cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: T-helper 2 cells"	total RNA
Th17-WT [RNA-seq]	GSM523213	GSE20898	GPL9250	SRA	T-helper 17 cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: T-helper 17 cells"	total RNA
Th17-Gata3-KO [RNA-seq]	GSM523214	GSE20898	GPL9250	SRA	T-helper 17 cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: T-helper 17 cells"	total RNA
iTreg-WT [RNA-seq]	GSM523215	GSE20898	GPL9250	SRA	Inducible regulatory T cells	Mus musculus	"strain: C57BL/6;	genotype/variation: WT;	cell type: Inducible regulatory T cells"	total RNA
iTreg-Gata3-KO [RNA-seq]	GSM523216	GSE20898	GPL9250	SRA	Inducible regulatory T cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: Inducible regulatory T cells"	total RNA
DP-CD3hi-Gata3-KO1 [RNA-seq]	GSM661223	GSE20898	GPL9250	SRA	Double-positive CD3hi cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: Double-positive CD3hi cells"	total RNA
DP-CD3hi-Gata3-KO2 [RNA-seq]	GSM661224	GSE20898	GPL9250	SRA	Double-positive CD3hi cells w/ Gata3 knockout	Mus musculus	"strain: C57BL/6;	genotype/variation: Gata3 knockout;	cell type: Double-positive CD3hi cells"	total RNA
