Sample,Total.reads,Unique.reads
CAP0111,527374,34088
CAP0112,33868,19623
CAP0113,335880,31677
CAP0114,12151,5540
CAP0115,1065872,59028
CAP0116,8743,1231
CAP0117,323854,31494
CAP0118,111887,7073
CAP0119,299234,12376
CAP0120,84911,4958
CAP0121,68664,5941
CAP0122,30616,25347
CAP0123,99133,84489
CAP0124,67828,57761
CAP0125,46088,39205
CAP0126,128246,107912
CAP0127,245339,83594
CAP0128,81821,60817
CAP0129,32560,7590
CAP0130,24160,5921
CAP0131,257956,50436
CAP0132,197270,50409
CAP0133,90719,36007
CAP0134,60956,4758
CAP0135,133441,6371
CAP0136,1682789,117760
CAP0137,1036988,117625
CAP0138,50431,8340
CAP0139,22232,10392
CAP0140,57145,35682
CAP0141,3677,1053
CAP0142,371071,61202
CAP0143,778657,292045
CAP0144,3128940,606191
CAP0145,140264,38188
CAP0146,53620,24115
CAP0147,2564765,554495
CAP0148,50030,5822
CAP0149,824357,222286
CAP0150,134880,9774
CAP0151,216116,130829
CAP0152,69474,16733
CAP0153,124003,80221
CAP0154,121602,32554
CAP0155,113462,89258
CAP0156,1081542,322771
CAP0157,1612227,250430
CAP0158,234882,222701
CAP0159,0,0
CAP0160,201281,107105
CAP0161,2812510,313260
CAP0162,232658,43486
CAP0163,316374,50344
CAP0164,364243,39200
CAP0165,321558,31268
CAP0166,143573,34477
CAP0167,179145,22719
CAP0168,254904,101065
CAP0169,310026,109318
CAP0170,72168,36933
CAP0171,350546,127788
CAP0172,151225,60237
CAP0173,12179,3870
CAP0174,2395297,226596
CAP0175,45997,23751
CAP0176,41796,24569
CAP0177,37780,27116
CAP0178,172747,22529
CAP0179,61239,29595
CAP0180,349367,26765
CAP0181,96693,19406
CAP0182,74554,12977
CAP0183,78674,46224
CAP0184,93460,37771
CAP0185,161797,37509
CAP0186,136593,33489
CAP0187,65787,32817
CAP0188,158732,11143
CAP0189,19571,8319
CAP0190,1282742,62478
CAP0191,19729,10628
CAP0192,133077,53400
CAP0193,897293,18750
CAP0194,50000,13280
CAP0195,409572,78480
CAP0196,30275,2325
CAP0197,78740,26626
CAP0198,78807,18294
CAP0199,160082,50694
CAP0200,111717,26606
CAP0201,0,0
CAP0202,196001,60104
CAP0203,203974,7232
CAP0204,75080,34874
CAP0205,45053,16919
CAP0206,190498,83351
CAP0207,35329,16861
CAP0208,164666,51643
CAP0209,265693,38865
CAP0210,99020,10018
CAP0211,137328,12982
CAP0212,219076,21403
CAP0213,53193,16956
CAP0214,65868,13170
CAP0215,583686,46112
CAP0216,497525,45512
CAP0217,23047,4430
CAP0218,32290,11404
CAP0219,21423,17875
CAP0220,291438,26607
CAP0221,301688,22885
CAP0222,50957,13515
CAP0223,98054,36999
CAP0224,242102,94199
CAP0225,247741,55929
CAP0226,1088113,106195
CAP0227,330676,74414
CAP0228,1438826,108081
CAP0229,95208,38119
CAP0230,48037,11565
CAP0231,1461104,89830
CAP0232,118182,38510
CAP0233,99793,45348
CAP0234,124151,53817
CAP0235,137297,22323
CAP0236,105982,48496
CAP0237,68366,32120
CAP0238,212144,65267
